"ID" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"PECAM1" "PECAM1" 1.23699943313502 11.8361177160949 9.0822671763525 2.22803795861744e-13 4.76428783484364e-11 20.1697504819285
"LIMS2" "LIMS2" 1.17507781610947 8.02698543744003 9.07856200388439 2.26273643852753e-13 4.78860346495806e-11 20.1546679634715
"GFRA2" "GFRA2" 0.695765708349202 5.77022326025761 9.07248285796713 2.32084502819749e-13 4.86145987131e-11 20.1299201797257
"CASKIN2" "CASKIN2" 1.0998561473247 8.07486833895505 9.06125803122961 2.43210173734908e-13 5.04304893578808e-11 20.0842194477025
"CD160" "CD160" 1.31214136188273 5.74698711607175 9.04893567833627 2.56040657261364e-13 5.25600261226128e-11 20.0340424927562
"CD101" "CD101" 0.722830504228858 5.79165555224466 9.03757822970709 2.68466919464417e-13 5.38404739550962e-11 19.9877875349716
"CAVIN1" "CAVIN1" 1.13061158613654 10.6292886965615 9.03655394409545 2.69616904816593e-13 5.38404739550962e-11 19.9836156408224
"NRN1" "NRN1" 2.0727377580666 7.30440256842496 9.03608364590268 2.70146571384203e-13 5.38404739550962e-11 19.9817001075878
"LINC00673" "LINC00673" -2.30021446245059 6.99773079411765 -9.0283439327651 2.79014751612507e-13 5.50732194336686e-11 19.9501744535229
"KIF26B" "KIF26B" -2.43494200592885 7.53670751470588 -9.02372439760029 2.84446361550337e-13 5.56106181895745e-11 19.9313565256545
"PAK6" "PAK6" -1.20937649215326 7.445284821155 -9.0080374028973 3.03694946811556e-13 5.88136780013927e-11 19.8674464806122
"FRMD3" "FRMD3" 1.6224859229249 7.38471922058824 8.99906896162699 3.15281012677236e-13 6.04868096097038e-11 19.8309026935207
"PALM2AKAP2" "PALM2AKAP2" 1.28257640909091 11.5450556911765 8.99290316165302 3.23502563843935e-13 6.14894502832249e-11 19.8057764895882
"LOC100506725" "LOC100506725" 1.15615460671937 4.92063236764706 8.98986902596774 3.27626903774576e-13 6.17020649604082e-11 19.7934114033852
"GPM6A" "GPM6A" 3.16227295197046 7.51377918839359 8.98300786447002 3.37148856250772e-13 6.29181065555987e-11 19.765448244734
"MARCO" "MARCO" 2.441548723502 9.41774536663488 8.97578079909093 3.47478891452822e-13 6.42616818355273e-11 19.7359912795782
"GIMAP5" "GIMAP5" 1.39433804889258 9.46710813398313 8.96537283336135 3.62915767569231e-13 6.65172756844749e-11 19.6935646665576
"DOCK4" "DOCK4" 1.22876484390471 10.1513448644665 8.9621063793814 3.67900873121428e-13 6.68342400304131e-11 19.6802483269944
"ABCA9" "ABCA9" 1.05245458695652 5.72239692647059 8.95232887610427 3.83236992113506e-13 6.90095524044391e-11 19.6403853081495
"NKG7" "NKG7" 1.8384214464021 7.01996668372572 8.95015815483541 3.86727827859472e-13 6.90325986982542e-11 19.6315346173009
"OSCAR" "OSCAR" 1.40700070905369 6.66998889343666 8.94396338717749 3.96866235024683e-13 7.02316385567817e-11 19.6062754148445
"BAALC" "BAALC" 1.38961141027982 5.72202526179926 8.94106915615899 4.01693880442725e-13 7.04783929720364e-11 19.5944735379789
"BST1" "BST1" 1.31304410160154 6.63272077599344 8.93740833604748 4.07884649218034e-13 7.09581023656593e-11 19.5795451474428
"GIMAP4" "GIMAP4" 1.41368058397399 9.17850061780261 8.933822096078 4.14042050175556e-13 7.14239933277631e-11 19.5649202657622
"VAT1" "VAT1" 0.790008955039958 10.1873034776318 8.92381693683374 4.3171761902903e-13 7.38524940285661e-11 19.5241154561534
"RADIL" "RADIL" 0.779767168850624 7.26910436901619 8.91021199500739 4.56972886066586e-13 7.7526771943594e-11 19.4686218263233
"PROK2" "PROK2" 2.74794251778656 5.13650761764706 8.8921430954895 4.92819649111457e-13 8.29229652209834e-11 19.3949067563694
"ANGPTL1" "ANGPTL1" 2.13980453162055 7.30583339705882 8.88918846245931 4.98943866803968e-13 8.3270891851641e-11 19.3828514192977
"FPR2" "FPR2" 2.37163776235256 6.5895718367027 8.88088490084717 5.16566690842129e-13 8.55167824968325e-11 19.3489695495258
"GRIA1" "GRIA1" 2.10361665442009 6.62915933003962 8.87076627404931 5.38887416720998e-13 8.84982471235892e-11 19.3076772934337
"BCL6B" "BCL6B" 1.07061602964427 7.87941942647059 8.8564294850458 5.72178569741158e-13 9.30299703698873e-11 19.2491637042338
"PILRA" "PILRA" 1.6250442910541 7.93657245560544 8.85480178896335 5.76086226043721e-13 9.30299703698873e-11 19.2425199197639
"ARHGEF16" "ARHGEF16" -0.822488081298988 7.88315514515907 -8.85315054239106 5.80077757567497e-13 9.30299703698873e-11 19.2357798906722
"CDH19" "CDH19" 1.92599067540201 5.79118274234672 8.84895011377764 5.90356794260139e-13 9.39445292447453e-11 19.2186341196528
"PRR29" "PRR29" 1.3239054696663 10.3367008649375 8.8381809186206 6.17552469379187e-13 9.75162853185842e-11 19.1746717441866
"MAGED1" "MAGED1" -0.949214866771511 11.9850766343359 -8.81883321775695 6.69605401662795e-13 1.04928699888045e-10 19.0956774458578
"ECSCR" "ECSCR" 1.76719068577075 8.36654525 8.81686700417593 6.75135507295813e-13 1.04993800710367e-10 19.0876487514897
"RAMP2" "RAMP2" 1.69949658466285 7.53764195190169 8.80845390186358 6.99319636592891e-13 1.07937093984803e-10 19.0532934762351
"HS6ST2" "HS6ST2" -3.47736660247018 8.58580990732218 -8.79965215223219 7.25550952619458e-13 1.11150074293823e-10 19.0173480059525
"FAM189A2" "FAM189A2" 1.64356849006431 8.38213068590149 8.79624145487428 7.35978775498412e-13 1.11564382230113e-10 19.003418202058
"RRAS" "RRAS" 1.21177951084269 9.35340596877025 8.79353135475019 7.44371598503335e-13 1.11564382230113e-10 18.9923494048033
"CLDN5" "CLDN5" 1.88593449766329 9.84119727350818 8.79347098505647 7.44559643683039e-13 1.11564382230113e-10 18.9921028349004
"PNPLA6" "PNPLA6" 1.07169221556347 8.64866004211348 8.79045318404679 7.54020703860104e-13 1.12163311658262e-10 18.9797769435317
"FCGR3B" "FCGR3B" 2.14398777539569 7.89267473904343 8.78477356000017 7.7215482272006e-13 1.14034490653219e-10 18.9565781162315
"SH3GL3" "SH3GL3" 1.36998401806333 6.17949872198965 8.77871690093641 7.91974628094163e-13 1.16126108325121e-10 18.9318378336572
"NHS" "NHS" -1.97487536956522 8.12366910294118 -8.7650893965045 8.38453649896068e-13 1.22069337057209e-10 18.8761667747784
"EDNRB" "EDNRB" 2.44173848817198 9.38065683999965 8.74862289685722 8.98278112002796e-13 1.29858120304179e-10 18.8088881536227
"PTGFRN" "PTGFRN" -1.33004712430217 9.34385341531566 -8.70186854627799 1.09250086787562e-12 1.56831173536718e-10 18.6178038680835
"TOX3" "TOX3" -3.06465544555372 8.82741198706986 -8.69780168975007 1.11126583752411e-12 1.5841711883816e-10 18.6011788989839
"SEC14L1" "SEC14L1" 1.1238001610189 10.38996114431 8.69374908795401 1.13028630084226e-12 1.60017359887517e-10 18.5846116141238
"HIGD1B" "HIGD1B" 1.68161411870359 8.13763768858085 8.69175847520804 1.13974815936675e-12 1.60251713804662e-10 18.5764736531777
"MAST2" "MAST2" -0.852232821635117 7.60189973966713 -8.68725618518081 1.16144241129164e-12 1.62016909036426e-10 18.5580670144762
"CTHRC1" "CTHRC1" -2.64363484241221 10.6344233656419 -8.68589392827802 1.16808761386355e-12 1.62016909036426e-10 18.5524975811068
"CD244" "CD244" 0.848412230646416 6.39663222229348 8.6522626279454 1.344789677926e-12 1.85274110795066e-10 18.4149794857794
"KLRF1" "KLRF1" 2.11341167984988 6.7195945148605 8.64045895375485 1.4129617557561e-12 1.93368526147741e-10 18.3667053239102
"EPB41L3" "EPB41L3" 1.81923349132704 8.56766842590401 8.63682303485917 1.43465055029613e-12 1.95036466864099e-10 18.3518343764519
"CDH3" "CDH3" -2.04248583732939 8.4925685518703 -8.6325706618133 1.46044011387745e-12 1.97236280642607e-10 18.3344415799221
"CCDC85A" "CCDC85A" 2.1405139229249 6.52056001470588 8.6276867751403 1.49063320345363e-12 1.99998159480367e-10 18.3144650851139
"HSPA12B" "HSPA12B" 1.52014040118577 7.86977395588235 8.61940478407708 1.54327027784556e-12 2.04606919057028e-10 18.2805876284389
"TEK" "TEK" 2.14653120698022 8.41958189027203 8.61915015209726 1.54491779295788e-12 2.04606919057028e-10 18.2795460227145
"FPR1" "FPR1" 1.94522970510921 9.28606354287892 8.60983178480219 1.60643692487026e-12 2.11390623036774e-10 18.2414266112407
"FXYD6" "FXYD6" 1.32561816144423 9.62784888261177 8.6013486001192 1.66457383750403e-12 2.17645679848934e-10 18.2067214044228
"FUT3" "FUT3" -1.36523096961282 7.321954411063 -8.59876265652122 1.68271152420916e-12 2.18624697271934e-10 18.1961417179539
"CLEC12A" "CLEC12A" 1.84838690016575 6.84575782216814 8.59452515444717 1.71286217990317e-12 2.21142357415424e-10 18.1788046884077
"SCUBE1" "SCUBE1" 0.969869663784164 6.66063375522973 8.58865183606073 1.75554892700391e-12 2.25236927334602e-10 18.1547740942303
"CAVIN2" "CAVIN2" 2.32659043116152 9.92747989401213 8.58289830583865 1.79839817295331e-12 2.29301352139041e-10 18.1312326114547
"RMI2" "RMI2" -1.43385216403162 7.53812504411765 -8.5761561762767 1.84994499356411e-12 2.34417721159778e-10 18.1036448720608
"FERMT1" "FERMT1" -2.04547327906408 7.73908427650297 -8.57396430797013 1.86701962766254e-12 2.35129932004028e-10 18.0946758030073
"ETV4" "ETV4" -1.101088420401 7.26372241642238 -8.57142035024477 1.88703506532402e-12 2.36201559883972e-10 18.0842658178388
"MORC2" "MORC2" -1.02888328052267 9.72650599884479 -8.54838848595777 2.07831532250465e-12 2.58567617820457e-10 17.9900100147851
"EARS2" "EARS2" -0.866496106719368 8.31561217647059 -8.53143615121259 2.23140662495573e-12 2.75941657813802e-10 17.9206247116177
"AQP9" "AQP9" 2.28145976641607 7.84409932536183 8.52625600658829 2.28040268882686e-12 2.77061812636037e-10 17.8994210184731
"STARD13" "STARD13" 1.28053338155347 7.89632370906883 8.52570383911372 2.28568846530259e-12 2.77061812636037e-10 17.8971608099066
"SH3BP5" "SH3BP5" 1.03123854695383 11.0621712462102 8.5253418550758 2.28916031513169e-12 2.77061812636037e-10 17.8956790822148
"BMP6" "BMP6" 1.65136955937252 6.55332217294169 8.52479119934606 2.29445187783156e-12 2.77061812636037e-10 17.8934250484483
"PCAT6" "PCAT6" -1.26260433201581 6.08811555882353 -8.51682418602077 2.37239658842458e-12 2.84798579925028e-10 17.8608122811755
"GGCT" "GGCT" -1.11085662539802 11.3403797112394 -8.50841006673127 2.45759669764265e-12 2.93311308193072e-10 17.8263675109642
"ESAM" "ESAM" 1.68960211137476 8.61848194725945 8.50055271242962 2.53992390143671e-12 3.01384727449091e-10 17.7942003346622
"ROBO4" "ROBO4" 1.9335470256917 8.76361139705882 8.49252192809428 2.62692306880997e-12 3.09916533083512e-10 17.7613215588993
"PLEK2" "PLEK2" -1.25944041690327 8.37651209263605 -8.49052967778277 2.64896361810927e-12 3.10731000871697e-10 17.7531648550841
"CYYR1" "CYYR1" 1.63699565019763 9.03465354411765 8.46547539886659 2.94247566133773e-12 3.43199661226938e-10 17.6505790828987
"GPA33" "GPA33" 1.13752656410918 6.55197333324929 8.45352886593926 3.09368445068172e-12 3.58797482506182e-10 17.6016583719235
"JAM2" "JAM2" 1.61886706894107 8.74234870518422 8.45173170513007 3.11709505749621e-12 3.59481614271249e-10 17.5942987715618
"EPAS1" "EPAS1" 1.31780618838928 12.8307943441424 8.44516478072166 3.20415716585505e-12 3.6637380883643e-10 17.5674057792114
"MMRN1" "MMRN1" 2.5947338566594 6.17609730607834 8.44454098017072 3.21255288340596e-12 3.6637380883643e-10 17.5648511301979
"ARHGEF15" "ARHGEF15" 1.26572912254745 7.33350972984461 8.44218730048815 3.24442983631838e-12 3.67964948507976e-10 17.5552120346841
"S100A3" "S100A3" 1.57543290191309 6.35384588134546 8.43698870871192 3.31596349165305e-12 3.74011530531065e-10 17.5339216602003
"LILRA2" "LILRA2" 1.12308832895311 7.03655902746899 8.42738559040074 3.45228317095165e-12 3.85540881820765e-10 17.4945914219624
"PREX1" "PREX1" 1.30165279808823 9.02761898496482 8.42714673016839 3.45574445903258e-12 3.85540881820765e-10 17.4936131285952
"LOC101929398" "LOC101929398" 1.26068607301001 6.45096108182766 8.41659364808682 3.61218611853433e-12 4.00380186389233e-10 17.4503899832017
"TXNDC17" "TXNDC17" -1.09126217767769 11.0800232897989 -8.41556805380465 3.62776279561561e-12 4.00380186389233e-10 17.4461892494658
"NLRC4" "NLRC4" 1.3660767192105 6.75610030775142 8.40420808129715 3.80486129652544e-12 4.14811273669995e-10 17.3996585120503
"DNASE1L3" "DNASE1L3" 1.72984929126303 7.1403716290782 8.40372499764603 3.8125813722006e-12 4.14811273669995e-10 17.3976797327652
"APOL3" "APOL3" 1.10121114235508 8.90542955228264 8.40331528495827 3.81914120828278e-12 4.14811273669995e-10 17.3960014878155
"INAVA" "INAVA" -2.04415449498727 9.16874532911862 -8.39789760233296 3.90695283412296e-12 4.22115409362506e-10 17.3738095377883
"EMP3" "EMP3" 1.22814636851322 9.12109022957267 8.38909950006559 4.05388270730941e-12 4.35696880710196e-10 17.3377694981511
"FUT2" "FUT2" -1.51451533298957 7.45465065007167 -8.38453459188202 4.13228425184712e-12 4.41810057926655e-10 17.3190695015432
"GCNT3" "GCNT3" -2.62568159971612 7.59793088699367 -8.37001787998843 4.39183822125852e-12 4.65648181814342e-10 17.259599757153
"CARD16" "CARD16" 1.25588458475447 9.93790264408404 8.36954234747629 4.40061122720101e-12 4.65648181814342e-10 17.2576516083452
"DENND3" "DENND3" 1.06475944980551 8.34106730970471 8.34299897559081 4.91916813364018e-12 5.15648221868039e-10 17.1489033689476
"CD52" "CD52" 1.39223674522108 10.7218979676248 8.34279527533943 4.92337546210716e-12 5.15648221868039e-10 17.1480687640518
"KCNK5" "KCNK5" -1.91383238113302 8.3551916349021 -8.32617828129489 5.27900680880839e-12 5.49721442125676e-10 17.0799831028167
"GALNT10" "GALNT10" -1.24844707255672 9.56709043012648 -8.32513101720578 5.30226254583417e-12 5.49721442125676e-10 17.075691953781
"PRAM1" "PRAM1" 0.873120948616601 6.32222267647059 8.32388967887366 5.3299607736454e-12 5.49816255082375e-10 17.0706055674246
"C1orf53" "C1orf53" -1.9167171352712 7.28277335951148 -8.3159844008006 5.50978262119678e-12 5.65524088239637e-10 17.0382131473747
"SNRK" "SNRK" 1.10622301890696 10.4657014754035 8.29990156537538 5.89458156642796e-12 5.99402080720955e-10 16.9723099105044
